Location ID,Species (farmOS),Common Name,Variety,Botanical Name,Strata,Succession,Source,Process,Seeding/Planting Date,Pots Planted,Viable (Mar 20),Success Rate %,Not RTT,RTT,Destination,How Many,When
NURS.BCK,Aloe Vera,Aloe Vera,,Aloe barbadensis,low,secondary,Various,given plant,15/01/2025,1,1,100,1,0,,,
NURS.GR,Aloe Vera,Aloe Vera,,Aloe barbadensis,low,secondary,Various,cutting,06/03/2026,15,15,100,15,0,,,
NURS.SH3-3,Apple,Apple,,Malus domestica,medium,secondary,"Supermarket
  SEEDS/STONES",cutting,15/01/2026,8,12,150,12,0,,,
NURS.SH3-2,Apple,Apple,,Malus domestica,medium,secondary,"Supermarket
  SEEDS/STONES",cutting,15/02/2026,16,20,125,20,0,,,
NURS.SH1-1,Avocado,Avocado,,Persea americana,high,climax,Supermarket SEEDS/STONES,cutting,15/02/2026,13,23,177,23,0,,,
NURS.GR,Avocado,Avocado,,Persea americana,high,climax,Supermarket SEEDS/STONES,seedling,15/02/2026,7,0,0,,3,P2R4,,Mar-26
NURS.BCK,Banagrass,Banagrass,,Cenchrus purpureus,high,pioneer,"Greenpatch Organic (bought plant), FFC cutting plant",cutting,19/03/2026,37,37,100,37,0,,,
NURS.BCK,Banagrass,Banagrass,,Cenchrus purpureus,high,pioneer,"Greenpatch Organic (bought plant), FFC cutting plant",cutting,25/02/2026,56,56,100,56,56,P2R4,,Mar-26
NURS.BCK,Basil - Perennial,Basil - Perennial,,Ocimum basilicum,medium,secondary,Johnsons,cutting,03/01/2026,bathtub,10,,10,0,,,
NURS.SH2-2,Basil - Perennial (Thai),Basil - Perennial,Thai,Ocimum basilicum,medium,secondary,Johnsons,cutting,26/01/2026,7,7,100,7,0,,,
NURS.SH1-3,Black She-oak,Black She-oak,,Allocasuarina littoralis,high,pioneer,Minimbah Permaculture Farm (given seeds),seedling,28/01/2026,7,10,143,10,0,,,
NURS.SH2-2,Blueberry,Blueberry,,Vaccinium corymbosum,low,secondary,"Greenpatch Organic Seeds (bought plant), FFC (cutting plant)",cutting,11/03/2026,21,21,100,21,0,,,
NURS.SH1-2,Cabbage (Savoy Vertu),Cabbage,Savoy Vertu,Brassica oleracea var. capitata,low,secondary,Greenpatch Organic Seeds,seedling,03/07/2026,16,16,100,16,0,,,
NURS.SH1-2,Cabbage (Red),Cabbage,Red,Brassica oleracea var. capitata,low,secondary,Greenpatch Organic Seeds,seedling,03/07/2026,16,16,100,16,0,,,
NURS.SH1-2,Chilli (Bird Eye),Chilli,Bird Eye,Capsicum annuum,medium,secondary,Various,seedling,28/01/2026,23,23,100,26,0,,,
NURS.GR,Chilli (Devil's Brew),Chilli,Devil's Brew,Capsicum annuum,medium,secondary,Mr Fothergill's,seedling,01/07/2026,1,0,0,0,1,P2R4,,Mar-26
NURS.SH1-2,Chilli (Cayenne),Chilli,Cayenne,Capsicum annuum,medium,secondary,FFC,seedling,15/01/2026,26,26,100,26,0,,,
NURS.SH1-2,Coffee,Coffee,,Coffea arabica,medium,climax,Yacob Tinonee Farm (given plant),seedling,given on 28/02/2026,10,0,0,0,0,,,
NURS.BCK,Comfrey,Comfrey,,Symphytum officinale,low,secondary,FFC (farm saved),root,15/02/2026,24,24,100,9,15,P2R4,,Mar-26
NURS.BCK,Tree Fern,Tree Fern,,Cyathea spp.,medium,climax,Various,cutting,15/02/2026,1,0,0,0,0,,,
NURS.SH1-2,Finger Lime,Finger Lime,,Citrus australasica,medium,secondary,Daleys Fruit Nursery,cutting,15/01/2026,1,1,100,1,0,,,
NURS.BCK,Finger Lime,Finger Lime,,Citrus australasica,medium,secondary,Daleys Fruit Nursery,plant,Bought 04/2025,2,2,100,0,2,,,
NURS.GL,Geranium,Geranium,,Pelargonium graveolens,low,secondary,"Beck & Dan, Krambach, May 2024",cutting,03/02/2026,5,5,100,5,0,,,
NURS.GR,Geranium,Geranium,,Pelargonium graveolens,low,secondary,"Beck & Dan, Krambach, May 2024",cutting,15/01/2026,4,1,25,,3,,,
NURS.HILL,Geranium,Geranium,,Pelargonium graveolens,low,secondary,"Beck & Dan, Krambach, May 2024",cutting,15/02/2026,,45,,45,0,,,
NURS.SH2-3,Grape Vine,Grape Vine,,Vitis vinifera,medium,secondary,FFC (farm saved),cutting,01/03/2026,4,4,100,4,0,,,
NURS.SH3-3,Guava (Hawaiian),Guava,Hawaiian,Psidium guajava,medium,secondary,Daleys Fruit Nursery,cutting,01/03/2026,2,2,100,2,0,,,
NURS.GR,Ice Cream Bean,Ice Cream Bean,,Inga edulis,high,secondary,FFC (farm saved),seedling,26/01/2026,2,2,100,,2,,,
NURS.BCK,Lavender,Lavender,,Lavandula,medium,secondary,FFC (farm saved),cutting,03/01/2026,bathtub,5,,5,0,,,
NURS.SH2-3,Lavender,Lavender,,Lavandula,medium,secondary,FFC (farm saved),cutting,15/01/2026,24,24,100,24,0,,,
NURS.GR,Lavender,Lavender,,Lavandula,medium,secondary,FFC (farm saved),cutting,15/01/2026,35,35,100,0,35,,,
NURS.SH1-2,Leek,Leek,,Allium ampeloprasum,low,secondary,Greenpatch Organic Seeds,seedling,03/07/2026,20,10,50,0,0,,,
NURS.SH3-1,Lemon,Lemon,,Citrus limon,medium,secondary,Mr Fothergill's,cutting,15/02/2025,33,90,273,,90,,,
NURS.SH1-1,Lemon,Lemon,,Citrus limon,medium,secondary,Mr Fothergill's,seedling,23/02/2026,1T,0,,0,0,,,
NURS.SH2-2,Lemon Balm,Lemon Balm,,Melissa officinalis,low,secondary,EDEN SEEDS,cutting,03/01/2026,11,1,9,0,0,,,
NURS.SH2-2,Lemon Balm,Lemon Balm,,Melissa officinalis,low,secondary,EDEN SEEDS,cutting,15/02/2026,15,15,100,15,0,,,
NURS.GL,Lemongrass,Lemongrass,,Cymbopogon citratus,low,secondary,FFC (farm saved),cutting,24/11/2025,14,14,100,0,14,,,
NURS.SH1-3,Mango,Mango,,Mangifera indica,high,climax,Daleys Fruit Nursery,seedling,15/02/2026,9,9,100,9,0,,,
NURS.SH3-2,Melaleuca (Generic),Melaleuca (Generic),,Melaleuca spp.,high,secondary,FFC (farm saved),cutting,02/02/2026,2,2,100,1,1,,,
NURS.SH2-1,Mint,Mint,,Mentha spicata,low,secondary,FFC (farm saved),cutting,17/02/2026,9,9,100,6,3,,,
NURS.SH2-2,Mint,Mint,,Mentha spicata,low,secondary,FFC (farm saved),cutting,28/02/2026,2,2,100,2,3,,,
NURS.BCK,Nettle,Nettle,,Urtica dioica,low,secondary,"FFC, Greenpatch Organic Seeds",spontaneous,15/01/2026,6,6,100,,6,,,
NURS.BCK,Olive,Olive,,Olea europaea,high,climax,FFC,cutting,03/01/2026,9,8,89,8,0,,,
NURS.SH1-3,Onion (Gladalan Brown),Onion,Gladalan Brown,Allium cepa,low,secondary,Various,seedling,03/07/2026,28,28,100,28,0,,,
NURS.SH1-3,Spring Onion (Lisbon),Onion - Spring,White Lisbon,Allium fistulosum,low,secondary,Mr Fothergill's,seedling,03/07/2026,28,28,100,28,0,,,
NURS.SH2-3,Oregano,Oregano,,Origanum vulgare,medium,secondary,Mr Fothergill's,cutting,15/02/2026,11,2,18,2,0,,,
NURS.SH2-3,Oregano,Oregano,,Origanum vulgare,medium,secondary,Mr Fothergill's,seedling,29/01/2026,17,2,12,17,0,,,
NURS.SH1-4,Passionfruit,Passionfruit,,Passiflora edulis,high,secondary,"Supermarket
  SEEDS/STONES",seedling,27/01/2026,78,78,100,68,10,,,
NURS.SH1-3,Peach,Peach,,Prunus persica,high,secondary,Daleys Fruit Nursery,seedling,02/04/2026,2,0,0,0,0,,,
NURS.SH3-2,Peach,Peach,Okinawa,Prunus persica,high,secondary,Daleys Fruit Nursery,cutting,19/01/026,1,3,300,0,0,,,
NURS.SH3-2,Pear (Williams),Pear,Williams,Pyrus communis,high,secondary,FFC (farm saved),cutting,26/02/2026,3,6,200,6,0,,,
NURS.SH3-2,Pear (Nashi),Pear,Nashi,Pyrus pyrifolia,high,secondary,Daleys Fruit Nursery,cutting,15/03/2026,4,4,100,4,0,,,
NURS.SH1-3,Pigeon Pea,Pigeon Pea,,Cajanus cajan,high,pioneer,"FFC (farm saved), Greenpatch Organic Seeds",seedling,07/03/2026,56,56,100,56,0,,,
NURS.BCK,Quince,Quince,,Cydonia oblonga,high,secondary,FFC (farm saved),cutting,23/01/2026,13,36,277,36,0,,,
NURS.SH1-3,Capsicum (Red),Capsicum,Red,Capsicum annuum,medium,secondary,Mr Fothergill's,seedling,10/03/2026,24,36,150,36,0,,,
NURS.BCK,Rosemary,Rosemary,,Salvia rosmarinus,medium,secondary,FFC (farm saved),cutting,03/01/2026,bathtub,15,,15,0,,,
NURS.GR,Rosemary,Rosemary,,Salvia rosmarinus,medium,secondary,FFC (farm saved),cutting,15/01/2026,8,8,100,0,8,,,
NURS.SH2-3,Rosemary,Rosemary,,Salvia rosmarinus,medium,secondary,FFC (farm saved),cutting,20/03/2025,9,9,100,9,0,,,
NURS.GR,Spinach-Perennial (Okinawa Spinach),Spinach - Perennial,Okinawa,Gynura crepioides,low,secondary,Minimbah,mother plant,26/01/2026,1,1,100,1,0,,,
NURS.GR,Spinach-Perennial (Okinawa Spinach),Spinach - Perennial,Okinawa,Gynura crepioides,low,secondary,Minimbah,cutting,03/02/2026,4,4,100,4,0,,,
NURS.BCK,Sugar Cane,Sugar Cane,,Saccharum officinarum,high,pioneer,Various,cutting,23/02/2026,1T,3,,,3,,,
NURS.BCK,Sugar Cane,Sugar Cane,,Saccharum officinarum,high,pioneer,Various,cutting,23/02/2026,3,5,167,,5,,,
