farmos_name,quantity_grams,stock_level,unit,expiry_date,quality,inventory_date,dominant_function,season_to_plant,qty_seeds_per_m2,data_source
Acerola,0,0,,,,,edible,,,
Achiote,0,0,,,,,companion,,,
Amaranth,,0.5,sachet,Jun-26,G,,edible,spring-summer,,
Amaranth (Calaloo),,0.5,sachet,Aug-26,G,,edible,spring-summer,,
Amla,,,,,,,edible,,,
Apple,,,,,,,edible,,,
Apple,,,,,,,edible,,,
Apricot,,,,,,,edible,,,
Apricot,,,,,,,edible,,,
Arrowroot,,,,,,,companion,,,
Australian Climbing Bluebell,0,0,sachet,,,,companion,,,
Avocado,0,0,bulk,,,,edible,,,
Melaleuca (Ball Honey Myrtle),,,,,,,companion,,,
Banagrass,,,,,,,companion,,,
Banana,,,,,,,edible,,,
Barley,155,1,bulk,May-27,G,,green manure,automn-winter,40,
Barley (Pearl),80,1,bulk,Jul-26,B,,green manure,automn-winter,40,
Basil - Perennial,,,,,,,edible,spring-summer,,
Basil - Perennial (Greek),,,,,,,edible,spring-summer,,
Basil - Perennial (Thai),,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Basil - Sweet (Classic),,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Basil - Sweet (Gourmet Mix),,,,,,,edible,spring-summer,,
Bean - Climbing,,,,,,,edible,spring-summer,,
Bean - Climbing (Blue Lake),,1.5,sachet,Aug-27,G,,edible,spring-summer,,
Bean - Climbing (Purple King),,1,sachet,Aug-28,G,,edible,spring-summer,,
Bean - Dwarf,,,,Aug-28,G,,edible,spring-summer,,
Bee & Butterfly Mix,,,,,,,companion,,,
Beetroot (Crimson Globe),,"0,5",sachet,Aug-28,G,,edible,,,
Beetroot (Moulin Rouge),,1,sachet,Aug-28,G,,edible,,,
Black Coral Pea,25,1,bulk,Aug-27,G,,companion,,,
Black She-oak,,,,,,,companion,,,
Blackberry,,,,,,,edible,,,
Blueberry,,,,,,,edible,,,
Blueberry,,,,,,,edible,,,
Borage (Blue Flower),,0.5,sachet,,,,companion,automn-winter,,
Borage (White Flower),20,1,bulk,Dec-27,G,,companion,automn-winter,,
Broad Bean,,,,,,,edible,automn-winter,,
Broad Bean (Long Pod),2,1,sachet,Dec-26,G,,edible,automn-winter,,
Broccoletti (Raab Rapini),,0.5,sachet,Aug-25,G,,edible,spring-summer,,
Broccoli,,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Brussels Sprout,,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Buckwheat,770,1,bulk,2/2026 COLLECTED,,,green manure,spring-summer,,
Bunnya Pine,500,1,bulk,2/2026 COLLECTED,,,edible,,,
Cabbage,,,,,,,edible,automn-winter,,
Cabbage (Golden Acre),,,,,,,edible,automn-winter,,
Cabbage (Red),,,,,,,edible,automn-winter,,
Cabbage (Savoy Vertu),,,,,,,edible,automn-winter,,
Calendula,1,1,bulk,2/2026 COLLECTED,G,,companion,,,
Cape Gooseberry,,,,,,,edible,spring-summer,,
Capsicum,,,,,,,edible,spring-summer,,
Capsicum (Red),,,,,,,edible,spring-summer,,
Carob,,,,,,,companion,spring-summer,,
Carrot,,,,,,,edible,ALL YEAR ROUND,,
Carrot,,1.5,sachet,Aug-27,G,,edible,ALL YEAR ROUND,,
Carrot,,1,sachet,Aug-27,G,,edible,ALL YEAR ROUND,,
Castor Bean,,,,,,,companion,,,
Cauliflower,,0.5,sachet,Aug-27,G,,edible,spring-summer,,
Celery,,,,,,,edible,,,
Celery (Golden Self Blanching),,0.5,sachet,Aug-26,,,edible,spring-summer,,
Celery (Tendercrisp),,0.5,sachet,Jun-26,,,edible,automn-winter,,
Chamomile,,0.5,sachet,Aug-26,,,companion,spring-summer,,
Chilli,,,,,,,edible,spring-summer,,
Chilli,100,1,bulk,Oct-26,B,,edible=>green manure,spring-summer,,
Chilli (Bird Eye),,,,,,,edible,spring-summer,,
Chilli (Cayenne),,,,,,,edible,spring-summer,,
Chilli (Devil's Brew),,,,,,,edible,spring-summer,,
Chilli (Jalapeño),,,,,,,edible,spring-summer,,
Chilli (Big Jim),,0.5,sachet,Aug-29,G,,edible,spring-summer,,
Chives,,0.5,sachet,Dec-26,G,,edible,ALL YEAR ROUND,,
Chives,,1,sachet,Aug-25,G,,edible,ALL YEAR ROUND,,
Chives - Garlic,,1,sachet,Aug-28,G,,edible,,,
Choko,,,,,,,edible,,,
Citrus (Yuzu),,,,,,,green manure,,,
Clover,,,,,,,green manure,,,
Clover (Crimson),400,1,bulk,Dec-26,G,,green manure,,,
Clover (Red Persian),265,1,bulk,Dec-26,G,,green manure,,,
Clover (White Haifa),190,1,bulk,Dec-26,G,,green manure,,,
Coffee (Arabica),,,,,,,edible,,,
Coffee,,,,,,,edible,,,
Comfrey,,,,,,,companion,,,
Coriander,,1.5,sachet,Aug-25,G,,edible,,,
Corn,37,1,,COLLECTED 11/25,,,green manure,,,
Corn,,,,,,,green manure,,,
Corn (Manning Pride),,,,,,,green manure,,,
Corn (Sweet),,,,,,,green manure,,,
Cottage Garden Mix,,,,,,,companion,,,
Cowpea,,,,,,,green manure,spring-summer,,
Cowpea,3168,1,bulk,1.2.3/2026 COLLECTED,G,,green manure,spring-summer,,
Cucumber,,,,,,,edible,spring-summer,,
Cucumber (Space Master),,1,sachet,Aug-28,G,,edible,spring-summer,,
